,original_name,release_date,genres,overview,total_views,popularity,vote_average,vote_count,content
0,Moana,2016,Animation Comedy Family Adventure,"In Ancient Polynesia, when a terrible curse incurred by Maui reaches an impetuous Chieftain's daughter's island, she answers the Ocean's call to seek out the demigod to set things right.",25683,47.75,7.6,10631,"Animation Comedy Family Adventure2016In Ancient Polynesia, when a terrible curse incurred by Maui reaches an impetuous Chieftain's daughter's island, she answers the Ocean's call to seek out the demigod to set things right."
1,Churchill,2017,Drama History,A ticking-clock thriller following Winston Churchill in the 24 hours before D-Day.,2898,15.256,6.1,260,Drama History2017A ticking-clock thriller following Winston Churchill in the 24 hours before D-Day.
2,Coco,2017,Animation Comedy Family Adventure Fantasy Music,"Despite his family’s baffling generations-old ban on music, Miguel dreams of becoming an accomplished musician like his idol, Ernesto de la Cruz. Desperate to prove his talent, Miguel finds himself in the stunning and colorful Land of the Dead following a mysterious chain of events. Along the way, he meets charming trickster Hector, and together, they set off on an extraordinary journey to unlock the real story behind Miguel's family history.",10867,234.074,8.2,16037,"Animation Comedy Family Adventure Fantasy Music2017Despite his family’s baffling generations-old ban on music, Miguel dreams of becoming an accomplished musician like his idol, Ernesto de la Cruz. Desperate to prove his talent, Miguel finds himself in the stunning and colorful Land of the Dead following a mysterious chain of events. Along the way, he meets charming trickster Hector, and together, they set off on an extraordinary journey to unlock the real story behind Miguel's family history."
3,Kidnap,2017,Drama Thriller,A mother (in her Minivan) stops at nothing to recover her kidnapped son.,2263,35.231,6.2,1130,Drama Thriller2017A mother (in her Minivan) stops at nothing to recover her kidnapped son.
4,The Accountant,2016,Crime Drama Thriller,"As a math savant uncooks the books for a new client, the Treasury Department closes in on his activities and the body count starts to rise.",4157,35.596,7.0,5158,"Crime Drama Thriller2016As a math savant uncooks the books for a new client, the Treasury Department closes in on his activities and the body count starts to rise."
5,The Birth of a Nation,2016,Drama,"Nat Turner, a former slave in America, leads a liberation movement in 1831 to free African-Americans in Virginia that results in a violent retaliation from whites.",7189,11.877,6.5,469,"Drama2016Nat Turner, a former slave in America, leads a liberation movement in 1831 to free African-Americans in Virginia that results in a violent retaliation from whites."
6,Baywatch,2017,Comedy Crime Action,"Devoted lifeguard Mitch Buchannon butts heads with a brash new recruit. Together, they uncover a local criminal plot that threatens the future of the Bay.",23031,80.666,6.1,7075,"Comedy Crime Action2017Devoted lifeguard Mitch Buchannon butts heads with a brash new recruit. Together, they uncover a local criminal plot that threatens the future of the Bay."
7,Alien: Covenant,2017,Mystery Horror Science Fiction,"Bound for a remote planet on the far side of the galaxy, the crew of the colony ship 'Covenant' discovers what is thought to be an uncharted paradise, but is actually a dark, dangerous world—which has a sole inhabitant: the 'synthetic', David, survivor of the doomed Prometheus expedition.",14477,120.823,6.1,7224,"Mystery Horror Science Fiction2017Bound for a remote planet on the far side of the galaxy, the crew of the colony ship 'Covenant' discovers what is thought to be an uncharted paradise, but is actually a dark, dangerous world—which has a sole inhabitant: the 'synthetic', David, survivor of the doomed Prometheus expedition."
8,Kingsman: The Golden Circle,2017,Comedy Crime Action Adventure Science Fiction,"When an attack on the Kingsman headquarters takes place and a new villain rises, Eggsy and Merlin are forced to work together with the American agency known as the Statesman to save the world.",3141,80.618,7.0,8785,"Comedy Crime Action Adventure Science Fiction2017When an attack on the Kingsman headquarters takes place and a new villain rises, Eggsy and Merlin are forced to work together with the American agency known as the Statesman to save the world."
9,Pitch Perfect,2012,Comedy Music Romance,"College student Beca knows she does not want to be part of a clique, but that's exactly where she finds herself after arriving at her new school. Thrust in among mean gals, nice gals and just plain weird gals, Beca finds that the only thing they have in common is how well they sing together. She takes the women of the group out of their comfort zone of traditional arrangements and into a world of amazing harmonic combinations in a fight to the top of college music competitions.",3423,36.921,7.3,5876,"Comedy Music Romance2012College student Beca knows she does not want to be part of a clique, but that's exactly where she finds herself after arriving at her new school. Thrust in among mean gals, nice gals and just plain weird gals, Beca finds that the only thing they have in common is how well they sing together. She takes the women of the group out of their comfort zone of traditional arrangements and into a world of amazing harmonic combinations in a fight to the top of college music competitions."
